publication_id,keyword_id,score,pub_id,kw_id
851276,15717,0.441201,p851276,k15717
851276,16314,0.139346,p851276,k16314
851276,20617,0.293164,p851276,k20617
851276,27596,0.234471,p851276,k27596
854284,2414,0.0050732,p854284,k2414
854284,5201,0.00483238,p854284,k5201
854284,10205,0.275867,p854284,k10205
854284,14199,0.273927,p854284,k14199
854284,23997,0.210245,p854284,k23997
854284,52745,0.00257956,p854284,k52745
854284,52799,0.00310246,p854284,k52799
854284,60250,0.266753,p854284,k60250
854284,62533,0.366286,p854284,k62533
858786,3282,0.0013732,p858786,k3282
858786,4867,0.00157359,p858786,k4867
858786,5491,0.349486,p858786,k5491
858786,5956,0.280954,p858786,k5956
858786,7197,0.513008,p858786,k7197
858786,9219,0.000543087,p858786,k9219
858786,15022,0.00542496,p858786,k15022
858786,52969,0.001745,p858786,k52969
858786,69253,0.432106,p858786,k69253
872221,2026,0.528278,p872221,k2026
872221,3065,0.00339241,p872221,k3065
872221,13999,0.00414436,p872221,k13999
872221,14590,0.272182,p872221,k14590
872221,14666,0.0115303,p872221,k14666
872221,18074,0.605475,p872221,k18074
872221,20059,0.275221,p872221,k20059
872221,38494,0.291775,p872221,k38494
872221,63705,0.428191,p872221,k63705
907471,4167,0.16382,p907471,k4167
907471,4574,0.394747,p907471,k4574
907471,4578,0.00154946,p907471,k4578
907471,10675,0.00557288,p907471,k10675
907471,13104,0.23776,p907471,k13104
907471,20075,0.00159374,p907471,k20075
907471,21424,0.00325449,p907471,k21424
907471,39836,0.327379,p907471,k39836
907471,60279,0.0923807,p907471,k60279
917487,2309,0.00206441,p917487,k2309
917487,14491,0.00163092,p917487,k14491
917487,21420,0.00183348,p917487,k21420
917487,28828,0.00920905,p917487,k28828
917503,817,0.00331485,p917503,k817
917503,1504,0.394637,p917503,k1504
917503,6953,0.00279632,p917503,k6953
917503,10735,0.523483,p917503,k10735
917503,13668,0.44846,p917503,k13668
917503,18539,0.00122277,p917503,k18539
917503,19656,0.506267,p917503,k19656
917503,27432,0.00148879,p917503,k27432
917503,33381,0.468497,p917503,k33381
938295,652,0.400433,p938295,k652
938295,2701,0.143921,p938295,k2701
938295,3511,0.383185,p938295,k3511
938295,11117,0.541096,p938295,k11117
938295,12844,0.347453,p938295,k12844
938295,19640,0.356672,p938295,k19640
938295,23709,0.181514,p938295,k23709
938295,33631,0.162198,p938295,k33631
938295,49132,0.292033,p938295,k49132
960032,490,0.00686001,p960032,k490
960032,2134,0.00358709,p960032,k2134
960032,4478,0.00354668,p960032,k4478
960032,6258,0.00275313,p960032,k6258
960032,8251,0.000437331,p960032,k8251
960032,9288,0.00600665,p960032,k9288
960032,21672,0.642322,p960032,k21672
960032,35022,0.00159905,p960032,k35022
964845,301,0.366391,p964845,k301
964845,727,0.0128513,p964845,k727
964845,2507,0.469994,p964845,k2507
964845,7100,0.015391,p964845,k7100
964845,16197,0.0105586,p964845,k16197
964845,38227,0.660048,p964845,k38227
964845,47232,0.333196,p964845,k47232
964845,61466,0.427052,p964845,k61466
964845,67654,0.319029,p964845,k67654
968023,3774,0.37057,p968023,k3774
968023,8729,0.0539087,p968023,k8729
968023,8867,0.152672,p968023,k8867
968023,11586,0.272629,p968023,k11586
968023,13107,0.53745,p968023,k13107
968023,14837,0.0217367,p968023,k14837
